"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2016","960.35","958.60","960.35","957.20","","0.13%"
"04/01/2016","959.10","976.15","987.60","952.75","","-1.76%"
"03/31/2016","976.30","967.10","985.50","964.30","","0.95%"
"03/30/2016","967.15","970.25","979.80","962.15","","-0.28%"
"03/29/2016","969.90","949.25","971.80","947.40","","2.22%"
"03/28/2016","948.85","943.90","957.85","941.10","","0.40%"
"03/27/2016","945.05","948.85","949.40","944.10","","-0.36%"
"03/24/2016","948.45","961.85","962.60","943.45","","-1.40%"
"03/23/2016","961.90","996.40","998.30","956.85","","-3.47%"
"03/22/2016","996.45","980.15","1,001.60","976.75","","1.65%"
"03/21/2016","980.30","971.25","984.95","962.20","","0.90%"
"03/20/2016","971.55","973.00","973.80","970.05","","-0.22%"
"03/18/2016","973.65","987.40","993.70","969.05","","-1.41%"
"03/17/2016","987.60","979.00","996.80","976.85","","0.89%"
"03/16/2016","978.90","960.10","982.90","956.00","","2.02%"
"03/15/2016","959.55","961.35","965.20","951.60","","-0.21%"
"03/14/2016","961.60","967.25","977.50","955.75","","-0.56%"
"03/13/2016","967.05","965.20","967.20","963.40","","0.23%"
"03/11/2016","964.85","982.60","993.35","962.35","","-1.76%"
"03/10/2016","982.15","980.70","991.00","971.85","","0.16%"
"03/09/2016","980.55","984.10","987.00","972.95","","-0.37%"
"03/08/2016","984.15","998.90","1,009.00","983.35","","-1.47%"
"03/07/2016","998.80","984.75","1,010.85","976.95","","1.42%"
"03/06/2016","984.80","980.90","985.75","978.65","","0.38%"
"03/04/2016","981.05","947.50","988.40","944.30","","3.56%"
"03/03/2016","947.35","937.50","956.75","932.35","","1.06%"
"03/02/2016","937.40","937.50","942.60","931.65","","-0.01%"
"03/01/2016","937.50","934.65","946.70","932.85","","0.37%"
"02/29/2016","934.05","914.40","938.10","914.00","","2.15%"
"02/28/2016","914.35","914.75","914.75","911.85","","-0.09%"
"02/26/2016","915.15","927.25","930.90","913.25","","-1.32%"
"02/25/2016","927.40","937.45","947.25","919.05","","-1.10%"
"02/24/2016","937.75","945.15","957.40","934.80","","-0.79%"
"02/23/2016","945.20","930.25","946.70","926.40","","1.61%"
"02/22/2016","930.20","940.15","940.15","920.70","","-1.21%"
"02/21/2016","941.60","942.25","942.25","940.05","","0.12%"
"02/19/2016","940.45","947.95","951.55","940.30","","-0.82%"
"02/18/2016","948.20","944.60","949.50","936.15","","0.41%"
"02/17/2016","944.30","935.90","952.20","930.75","","0.91%"
"02/16/2016","935.80","937.05","942.05","928.10","","-0.21%"
"02/15/2016","937.80","953.65","955.00","933.90","","-1.68%"
"02/14/2016","953.80","955.15","957.40","953.25","","-0.45%"
"02/12/2016","958.15","956.70","961.95","951.80","","0.16%"
"02/11/2016","956.65","937.75","970.10","934.45","","2.06%"
"02/10/2016","937.35","934.30","937.45","922.90","","0.29%"
"02/09/2016","934.65","929.50","939.85","922.40","","0.57%"
