"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2014","31.35","32.95","32.95","31.30","939.69K","-8.87%"
"11/26/2014","34.40","34.85","35.02","34.30","1.12M","-1.29%"
"11/25/2014","34.85","32.05","34.90","31.90","1.73M","9.08%"
"11/24/2014","31.95","31.50","32.60","31.45","921.36K","1.11%"
"11/21/2014","31.60","32.70","32.99","31.30","1.34M","-1.25%"
"11/20/2014","32.00","31.45","32.30","31.05","1.03M","3.73%"
"11/19/2014","30.85","32.75","33.05","30.70","2.08M","-6.52%"
"11/18/2014","33.00","32.45","33.15","31.40","1.72M","4.10%"
"11/17/2014","31.70","30.80","32.19","30.40","1.47M","2.26%"
"11/14/2014","31.00","28.25","31.20","27.85","1.68M","7.83%"
"11/13/2014","28.75","29.10","30.12","28.50","1.06M","0.00%"
"11/12/2014","28.75","29.25","30.10","28.20","1.26M","-0.52%"
"11/11/2014","28.90","26.85","29.60","26.80","1.77M","9.06%"
"11/10/2014","26.50","27.85","27.85","26.35","1.37M","-6.03%"
"11/07/2014","28.20","27.00","28.35","26.80","1.59M","7.43%"
"11/06/2014","26.25","25.80","27.00","25.70","1.60M","4.79%"
"11/05/2014","25.05","24.75","26.90","24.75","2.36M","-1.96%"
"11/04/2014","25.55","27.05","27.05","25.45","1.44M","-5.89%"
"11/03/2014","27.15","27.80","27.85","26.55","1.44M","-0.91%"
"10/31/2014","27.40","26.85","28.75","26.55","2.34M","-9.57%"
"10/30/2014","30.30","32.25","32.45","30.10","1.82M","-7.62%"
"10/29/2014","32.80","34.20","34.70","32.55","1.21M","-5.20%"
"10/28/2014","34.60","34.70","34.75","33.98","597.84K","0.58%"
"10/27/2014","34.40","34.60","34.95","34.25","571.83K","-1.29%"
"10/24/2014","34.85","34.70","35.30","34.40","579.23K","0.58%"
"10/23/2014","34.65","33.90","35.15","33.12","961.02K","1.46%"
"10/22/2014","34.15","35.00","35.25","34.15","788.96K","-3.67%"
"10/21/2014","35.45","36.15","36.55","35.35","803.86K","-0.70%"
"10/20/2014","35.70","35.50","35.95","35.00","791.91K","2.00%"
"10/17/2014","35.00","36.50","36.55","34.75","1.50M","-3.98%"
"10/16/2014","36.45","37.80","38.35","36.40","1.72M","-4.33%"
