"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2016","538.65","536.70","544.00","534.60","3.67K","0.10%"
"04/07/2016","538.10","540.00","540.00","539.00","0.02K","0.03%"
"04/06/2016","537.95","547.00","556.95","537.00","4.61K","-1.05%"
"04/05/2016","543.65","552.40","562.50","541.00","4.10K","-1.58%"
"04/04/2016","552.40","561.35","565.75","550.00","3.20K","-1.52%"
"04/01/2016","560.90","564.25","575.05","557.00","3.79K","-0.55%"
"03/31/2016","564.00","565.25","575.90","562.00","2.88K","-0.41%"
"03/30/2016","566.35","577.55","579.30","563.25","2.83K","-1.20%"
"03/29/2016","573.20","567.95","579.30","555.40","4.29K","1.09%"
"03/28/2016","567.00","573.00","584.55","566.00","2.65K","-0.99%"
"03/24/2016","572.65","583.00","586.00","570.20","4.74K","-1.79%"
"03/23/2016","583.10","607.00","608.00","580.10","3.96K","-3.72%"
"03/22/2016","605.60","602.80","608.15","598.80","2.74K","0.44%"
"03/21/2016","602.95","590.90","604.45","585.15","3.36K","2.19%"
"03/18/2016","590.05","595.10","597.40","584.95","2.79K","-1.30%"
"03/17/2016","597.80","581.95","599.00","579.00","4.65K","3.52%"
"03/16/2016","577.50","568.90","585.00","564.05","3.76K","1.19%"
"03/15/2016","570.70","572.20","572.50","559.15","3.77K","-0.37%"
"03/14/2016","572.80","578.25","578.25","565.00","3.78K","-1.23%"
"03/11/2016","579.95","572.00","585.90","569.50","3.57K","1.05%"
"03/10/2016","573.95","567.00","575.95","559.15","3.43K","1.38%"
"03/09/2016","566.15","560.25","571.40","549.70","4.43K","-0.12%"
"03/08/2016","566.85","578.00","581.65","558.40","4.93K","-1.86%"
"03/07/2016","577.60","555.80","579.45","552.50","6.39K","2.59%"
"03/04/2016","563.00","541.25","563.85","535.00","7.34K","3.84%"
"03/03/2016","542.20","517.00","544.20","512.70","8.26K","5.22%"
"03/02/2016","515.30","516.45","522.25","509.55","3.85K","-0.40%"
"03/01/2016","517.35","494.70","523.25","491.25","7.18K","4.38%"
"02/29/2016","495.65","486.65","499.20","483.10","3.80K","2.74%"
"02/26/2016","482.45","484.60","494.35","481.00","5.74K","-0.23%"
"02/25/2016","483.55","487.00","494.60","480.45","7.60K","-1.05%"
"02/24/2016","488.70","500.50","500.50","500.50","0.00K","-2.33%"
"02/23/2016","500.35","498.40","502.70","495.00","6.74K","-0.03%"
"02/22/2016","500.50","494.75","494.75","494.75","0.00K","0.15%"
"02/19/2016","499.75","505.00","506.05","498.00","3.06K","-1.13%"
"02/18/2016","505.45","515.85","518.70","498.00","1.55K","-2.14%"
"02/17/2016","516.50","510.25","516.70","510.00","1.41K","1.21%"
"02/16/2016","510.30","520.65","523.25","507.75","1.26K","-0.66%"
"02/15/2016","513.67","521.80","522.88","510.42","","-1.58%"
"02/14/2016","521.90","523.10","524.75","521.50","","-1.11%"
"02/12/2016","527.75","522.30","531.55","521.60","1.00K","0.49%"
"02/11/2016","525.20","526.00","532.10","522.30","1.40K","-0.06%"
"02/10/2016","525.50","520.00","526.00","509.90","2.40K","1.53%"
"02/09/2016","517.60","516.85","519.75","511.75","1.03K","-0.23%"
"02/08/2016","518.80","499.80","519.90","495.00","2.19K","3.90%"
"02/05/2016","499.35","514.50","519.60","499.90","0.83K","-3.25%"
"02/04/2016","516.10","512.60","518.15","507.00","0.25K","0.01%"
"02/03/2016","516.05","490.85","516.60","490.70","0.68K","4.94%"
"02/02/2016","491.75","504.20","504.20","491.40","0.40K","-2.21%"
"02/01/2016","502.85","500.20","506.80","498.00","0.42K","0.77%"
"01/29/2016","499.00","495.50","502.80","493.70","0.12K","1.32%"
"01/28/2016","492.50","500.55","505.55","491.45","0.15K","-2.03%"
"01/27/2016","502.70","495.40","502.70","495.40","0.08K","1.92%"
"01/26/2016","493.25","496.05","500.10","492.85","0.04K","0.28%"
"01/25/2016","491.85","498.55","499.30","490.00","0.08K","-1.68%"
"01/22/2016","500.25","501.60","508.00","499.00","0.07K","0.20%"
"01/21/2016","499.25","497.85","499.75","495.40","0.03K","2.04%"
"01/20/2016","489.25","490.55","490.55","486.80","0.05K","-1.58%"
"01/19/2016","497.10","491.45","501.20","490.80","0.07K","0.95%"
"01/18/2016","492.40","491.50","497.40","488.20","","0.16%"
"01/17/2016","491.60","495.60","495.60","490.60","","0.90%"
"01/15/2016","487.20","497.00","497.00","488.05","0.01K","-0.85%"
"01/14/2016","491.40","484.90","493.45","482.65","0.18K","1.04%"
"01/13/2016","486.35","475.00","493.75","475.00","0.43K","3.38%"
"01/12/2016","470.45","458.60","473.15","458.60","0.19K","-0.95%"
"01/11/2016","474.95","490.90","491.00","475.20","0.16K","-3.90%"
"01/08/2016","494.20","500.60","500.60","490.95","0.10K","0.14%"
"01/07/2016","493.50","506.00","507.30","487.85","0.17K","-2.39%"
"01/06/2016","505.60","531.00","531.00","505.90","0.15K","-5.71%"
"01/05/2016","536.20","543.40","547.60","536.50","0.04K","-1.53%"
"01/04/2016","544.55","550.55","551.45","540.00","0.03K","-3.15%"
"12/31/2015","562.25","545.55","558.60","545.55","0.01K","2.37%"
"12/30/2015","549.25","558.85","561.80","550.00","0.01K","-1.29%"
"12/29/2015","556.45","557.80","557.80","557.80","0.00K","0.81%"
"12/28/2015","552.00","562.50","562.50","562.50","0.00K","-1.31%"
"12/24/2015","559.30","556.70","556.70","555.80","0.01K","1.06%"
"12/23/2015","553.45","551.40","552.55","551.40","0.00K","-0.28%"
"12/22/2015","555.00","558.00","558.00","558.00","0.03K","0.23%"
"12/21/2015","553.75","556.70","556.70","551.30","0.05K","-1.00%"
"12/18/2015","559.35","561.10","561.10","561.10","0.05K","0.27%"
"12/17/2015","557.85","562.25","564.65","557.35","0.03K","-2.53%"
"12/16/2015","572.35","564.70","572.75","564.70","0.00K","0.87%"
"12/15/2015","567.40","562.80","562.80","562.80","0.00K","3.32%"
"12/14/2015","549.15","548.60","548.60","548.15","0.00K","0.75%"
"12/11/2015","545.05","541.30","547.00","541.30","0.00K","0.43%"
"12/10/2015","542.70","542.80","545.70","542.80","0.01K","-1.78%"
"12/09/2015","552.55","556.00","556.00","549.55","0.01K","0.81%"
"12/08/2015","548.10","549.10","549.10","549.10","0.00K","-1.38%"
"12/07/2015","555.75","554.50","554.50","551.55","0.00K","-1.85%"
"12/04/2015","566.20","544.75","572.70","543.80","0.03K","5.66%"
"12/03/2015","535.85","527.40","537.40","527.40","0.03K","1.93%"
"12/02/2015","525.70","542.40","543.45","525.25","0.07K","-2.40%"
"12/01/2015","538.65","543.00","552.20","540.85","0.07K","-0.61%"
"11/30/2015","541.95","548.00","550.00","539.85","0.15K","-1.39%"
"11/27/2015","549.60","555.30","569.15","547.00","2.45K","-1.17%"
"11/26/2015","556.10","556.30","569.50","550.80","","0.87%"
"11/25/2015","551.30","539.05","561.40","528.05","5.71K","1.81%"
"11/24/2015","541.50","543.85","545.00","533.30","8.03K","0.03%"
"11/23/2015","541.35","563.55","564.00","537.60","11.46K","-3.14%"
"11/20/2015","558.90","542.85","564.00","541.15","7.27K","3.31%"
"11/19/2015","541.00","536.70","549.85","526.60","5.58K","1.68%"
"11/18/2015","532.05","543.15","551.35","527.50","4.97K","-2.64%"
"11/17/2015","546.50","552.00","559.65","536.85","5.97K","-0.92%"
"11/16/2015","551.55","540.00","553.40","539.50","5.34K","2.28%"
"11/13/2015","539.25","561.50","565.20","533.40","8.59K","-3.48%"
"11/12/2015","558.70","575.85","583.35","557.65","5.03K","-3.17%"
"11/11/2015","577.00","595.00","603.00","574.70","5.43K","-3.48%"
"11/10/2015","597.80","600.25","615.90","595.60","4.34K","0.14%"
"11/09/2015","596.95","617.70","621.20","595.00","4.65K","-2.61%"
"11/06/2015","612.95","605.55","626.55","597.65","5.74K","1.10%"
"11/05/2015","606.30","625.20","631.45","602.80","5.78K","-2.74%"
"11/04/2015","623.40","646.95","651.65","621.00","4.62K","-3.20%"
"11/03/2015","644.00","646.30","655.10","639.80","3.70K","-0.98%"
"11/02/2015","650.35","676.25","676.25","645.95","6.71K","-3.97%"
"10/30/2015","677.25","671.10","689.95","670.30","2.64K","0.96%"
"10/29/2015","670.80","677.60","683.00","667.80","3.09K","-2.23%"
"10/28/2015","686.10","679.30","692.50","670.75","3.57K","1.08%"
"10/27/2015","678.75","683.90","685.50","675.00","3.63K","-0.75%"
"10/26/2015","683.90","693.80","694.50","678.05","3.66K","-1.43%"
"10/23/2015","693.85","685.15","703.80","685.15","4.45K","1.20%"
"10/22/2015","685.60","679.00","687.50","667.65","3.19K","1.25%"
"10/21/2015","677.15","695.15","697.00","672.60","4.66K","-2.55%"
"10/20/2015","694.85","685.50","700.00","681.25","2.60K","0.98%"
"10/19/2015","688.10","702.05","702.05","677.00","3.76K","-1.62%"
"10/16/2015","699.40","703.75","705.00","693.30","2.71K","-0.79%"
"10/15/2015","705.00","702.50","708.00","695.40","2.80K","0.59%"
"10/14/2015","700.85","684.05","704.50","682.25","4.03K","2.26%"
"10/13/2015","685.35","695.70","699.00","681.10","5.13K","-1.34%"
"10/12/2015","694.65","708.15","717.70","692.00","4.25K","-1.91%"
"10/09/2015","708.15","704.70","724.95","701.60","5.33K","0.71%"
"10/08/2015","703.15","700.00","709.00","686.70","3.97K","0.52%"
"10/07/2015","699.50","708.95","714.00","691.00","3.59K","-1.16%"
"10/06/2015","707.70","695.85","714.80","685.85","5.42K","2.68%"
"10/05/2015","689.20","699.75","713.25","684.70","5.00K","-1.20%"
"10/02/2015","697.60","677.00","700.60","674.75","5.73K","2.68%"
"10/01/2015","679.40","653.70","682.55","650.55","6.82K","4.37%"
"09/30/2015","650.95","658.60","669.30","647.65","4.42K","-1.03%"
"09/29/2015","657.70","647.05","659.65","638.20","3.80K","0.90%"
"09/28/2015","651.85","665.95","670.15","644.00","4.26K","-2.36%"
"09/25/2015","667.60","652.50","678.00","651.00","5.76K","1.70%"
"09/24/2015","656.45","647.85","663.00","637.40","7.91K","1.66%"
"09/23/2015","645.70","608.45","651.00","607.00","9.08K","5.69%"
"09/22/2015","610.95","614.10","616.00","593.60","4.79K","-0.84%"
"09/21/2015","616.10","607.55","618.90","601.00","2.79K","0.86%"
"09/18/2015","610.85","610.60","612.35","602.00","2.66K","1.94%"
"09/17/2015","599.20","609.40","618.30","594.40","3.66K","-2.08%"
